k,folds,mean_accuracy
1,3,0.9129836217668141
2,3,0.9341728206624618
3,3,0.9419915751984617
4,3,0.9486767973782856
5,3,0.9419953162293401
6,3,0.9520362431071506
7,3,0.9475769343000158
8,3,0.9509288979671237
9,3,0.948688020470921
10,3,0.9531622934015699
11,3,0.9498065887035833
12,3,0.9542771206033533
13,3,0.9531585523706912
14,3,0.9498103297344617
15,3,0.948695502532678
1,5,0.9274549968963377
2,5,0.9441837368094351
3,5,0.9475356921166977
4,5,0.950862818125388
5,5,0.945276225946617
6,5,0.950869025450031
7,5,0.9475108628181254
8,5,0.9475232774674115
9,5,0.950862818125388
10,5,0.9553445065176909
11,5,0.9531098696461825
12,5,0.9553445065176909
13,5,0.9519925512104284
14,5,0.956455617628802
15,5,0.9542333954065798
1,10,0.9409488139825217
2,10,0.9487390761548067
3,10,0.949900124843945
4,10,0.9666292134831462
5,10,0.9588014981273407
6,10,0.9554556803995006
7,10,0.9577153558052436
8,10,0.9554681647940075
9,10,0.9543570536828965
10,10,0.9554806491885144
11,10,0.9576903870162298
12,10,0.9565917602996254
13,10,0.9610362047440699
14,10,0.9599375780274657
15,10,0.9599375780274657
